Substance_id	Substance_Name	Allergic_Patients	Medicines_Containing
4285	Tincture From Purple Coneflower Herb, Extraction Solvent: Ethanol 65% (V/V), Tincture From Bearberry Leaf, Extraction Solvent: Ethanol 50,6% (V/V)	0	1
1106	Paspalum Notatum	0	6
5552	Pulsatilla D2, Argentum Nitricum D10, Hepar Sulfuris D10, Hydrargyrum Biiodatum D8, Mucosa Nasalis Suis D8, Sinusitis Nosode D13, Luffa Operculata D2, Euphorbium D4	0	1
5799	Formica Parva Ex Anim. Tot. Dil. D6, Triticum Vulgare, Flos Dil. D12, Vespa Vulgaris Ex Anim. Tot. Dil. D6	0	1
6046	Sodium Carbonate, Alginic Acid, Aluminium Hydroxide	0	1
6293	Guanfacine	0	3
612	Agropyron Repens E Radice Ferm 33c Dil. D3 (Hab, Vs. 33c), Kalium Carbonicum E Cinere Fagi Silvaticae Dil. D9 Aquos. (Hab, Vs. 5b), Taraxacum Officinale E Planta Tota Ferm 34c Dil. D4 (Hab, Vs. 34c), Zinnober Dil. D6	0	2
2835	Tibolone	0	32
3082	Tea Tree Oil	0	3
3329	Tincture From Crataegus Inflorescence (1:5), Extraction Solvent: Ethanol 60% (V/V), Convallaria Majalis Tincture (1:7-9), Extraction Solvent: Ethanol 70% (V/V), Valerian Tincture (1:5), Extraction Solvent: Ethanol:water (676:324), Liquid Extract From Cola	0	1
3576	L-Ornithine Oxoglutarate Monohydrate	0	1
4102	Strychnos Ignatii Dil. D 6, Arnica Montana Dil. D4, Nitroglycerinum Dil. D4, Kalmia Latifolia Dil. D4, Kalium Carbonicum Dil. D4, Selenicereus Grandiflorus Dil. D30, Spigelia Anthelmia Dil. D10, Crataegus Dil. D6, Carbo Vegetabilis Dil. D18, Ranunculus Bu	0	1
4349	Daratumumab	0	1
3640	Chlorocresol	0	1
1170	Avocado	0	4
5616	Tincture From Sage Leaf, Extraction Solvent: Ethanol 68% (V/V)	0	2
5863	Formica Rufa Ex Animale Toto Gl Dil. D5 (Hab, Vs. 41c)	0	1
6110	Viscum Album Mother Tincture, Acidum Picrinicum Dil D2	0	1
6357	Betulae Folium, Equisetum Stem, Solidaginis Herba, Restharrow Root	0	1
676	Zingiber Officinale D3, Solidago Virgaurea Mother Tincture, Pulsatilla Pratensis D4, Acidum Benzoicum E Resina D4, Acidum Nitricum D4, Apis Mellifica D3, Lytta Vesicatoria D4, Populus Tremuloides D2	0	1
2899	Linagliptin	0	112
3146	Calcifediol Monohydrate	0	21
3393	Articulatio Interphalangea Bovis Gl Dil. D16 (Hab, Vs. 41b), Echinacea Pallida E Planta Tota Ferm 33c Dil. D1 (Hab, Vs. 33c), Quarz Dil. D29 Aquos.	0	1
4166	Phenylephrine Hydrochloride, Cetylpyridinium Chloride, Guaifenesin, Paracetamol	0	6
4413	Naphazoline Nitrate, Ephedrine Hydrochloride	0	1
3704	Cichorium Intybus Var. Sativum Stanno Cultum, Planta Tota Dil. D3	0	1
1234	Maize Starch	0	1
5680	Folic Acid, Ferrous Sulfate	0	4
5927	Algeldrate, Tick-Borne Encephalitis Virus (Inactivated), Neudoerfl Strain	0	9
6174	Pancreas Suis D12, Hypophysis Suis D12, Sus Scrofa Adrenal Gland D12, Thymus Suis D12, Testis Suis Dil. D12, Thyreoidinum Suis Dil. D12	0	1
6421	Liquid Extract From Viscum Album Subsp. Austriacum Var Pinus Sylvestris (1:20), Extraction Solvents: Water For Injection, Sodium Chloride (99.91:0.09)	0	3
740	Methyldopa	0	13
2963	Atropa Bella-Donna D4, Bryonia D3, Cuprum Aceticum D12, Lobaria Pulmonaria D4, Drosera D4	0	1
3210	Lidocaine Hydrochloride Monohydrate, Cetylpyridinium Chloride Monohydrate	0	1
3457	Gelsemium Sempervirens Trit. D 4, Avena Sativa Mother Tincture, Passiflora Incarnata Mother Tincture, Ignatia Trit. D4	0	2
1504	Mentzelia Scabra Stem And Twig	0	1
6444	Hydrocortisone Acetate, Zinc Sulphate Monohydrate	0	1
6691	Hydrocortisone, Urea	0	1
6938	Liquid Extract From Horse-Chestnut Fruit (1:1), Extraction Solvent: Ethanol 96% (V/V)	0	1
7185	Sarilumab	0	1
7432	Prednisolone Sesquihydrate, Hydroxyquinoline Sulfate	0	1
7679	Juglans Regia Dil. D3, Natrium Sulfuricum D4, Aranea Diadema D6, Calcium Phosphoricum D12, Ferrum Iodatum D12, Equisetum Hiemale D4, Fumaria Officinalis D4, Geranium Robertianum D4, Levothyroxinum D12, Myosotis Arvensis D3, Nasturtium Officinale D4, Pinus	0	1
7926	Achillea Millefolium, Flos Sicc., Ethanol. Infusum 1:5, Capsella Bursa-Pastoris, Herba Sicc., Ethanol. Infusum 1:5, Majorana, Fructus Sicc., Ethanol. Decoctum 1:3, Quercus, Cortex Sicc., Ethanol. Decoctum 1:3, Majorana, Herba Sicc., Ethanol. Infusum 1:5, 	0	1
8173	Mucor Racemosus E Volumine Cellulae (Lyophil., Steril.) D5	0	1
8420	Kalium Bromatum D4, Acidum Phosphoricum D4, Sepia Officinalis D4, Strychnos Ignatii D4, Zincum Isovalerianicum D4	0	3
8667	Chromic Chloride, Copper Gluconate, Ferrous Gluconate, Manganese Gluconate, Potassium Iodide, Sodium Fluoride, Sodium Molybdate, Sodium Selenite, Zinc Gluconate	0	2
8914	Drosera D6	0	1
9161	Candida Parapsilosis E Volumine Cellulae (Lyophil., Steril.) D3	0	1
9408	Plantaginis Extractum Fluidum	0	1
9655	Asparagus Officinalis	0	1
9902	Menthol, Methyl Salicylate, Cineole	0	1
10149	Troxerutin, Liquid Extract Of Horse Chestnut Seeds (1 : 0,9 - 1,1), Extraction Solvent: Ethanol 50 % (V / V)	0	1
10396	Aconitum Napellus C6, Atropa Bella-Donna C6, Calendula Officinalis C6, Chelidonium Majus C6, Abrus Precatorius C6, Viburnum Opulus C6	0	4
10643	Bornaprine Hydrochloride	0	1
10890	Diphtheria Toxoid Adsorbed On Aluminium Hydroxide, Hydrated, Algeldrate	0	2
11137	Arginine Hydrochloride, Dexfosfoserine, Levoglutamide, Hydroxocobalamin Chloride, L-Threonine O-Phosphate	0	1
11384	Urtica Dioica Ferro Culta, Herba Rh Dil. D3	0	1
11631	Viscum Album Crataegi Ex Herba Recente Col. D6	0	1
11878	Zinc Trisodium Pentetate	0	1
269	Human Antithrombin	0	3
1568	Ascorbic Acid, Paracetamol, Anhydrous Caffeine	0	1
6508	Chelidonium Majus Trit. D6, Lycopodium Clavatum Trit. D 3, Silybum Marianum Trit. D2, Veratrum Album Trit. D6, Cinchona Pubescens D3, Citrullus Colocynthis D6, Myristica Fragrans D4, Phosphorus Trit. D6	0	1
6755	Hydrocortisone Acetate, Sodium Bituminosulfonate Light	0	1
7002	Haemophilus Influenzae Type B (Hib), Klebsiella Ozaenae, Klebsiella Pneumoniae, Neisseria Catarrhalis, Staphylococcus Aureus, Streptococcus Pneumoniae, Streptococcus Pyogenes, Streptococcus Oralis	0	1
7249	Colocynth Fruit Extract (1:10-13)	0	1
7496	Strychninum Phosphoricum Dil. D4, Acidum Picrinicum Dil. D6, Turnera Diffusa Dil. D2, Yohimbinum Hydrochloricum Dil. D4	0	2
7743	Magnesium Hydroxide Ph. Eur.	0	1
7990	Stannum Metallicum Dil. D8, Equisetum Arvense Dil. D1, Bambusa E Summitatibus Rec. Dil. D12, Calcium Silicofluoratum Dil. D12, Aletris Farinosa Dil. D2	0	1
8237	Dimethyl-4-Toluidine	0	1
8484	Nicotinamide Ph. Eur.	0	1
8731	Stannum Metallicum D8, Anamirta Cocculus D8, Oenanthe Crocata D4, Datura Stramonium D3, Arnica Montana D3, Hyoscyamus D 4, Acidum Arsenicosum D6, Cuprum Aceticum D6, Atropinum Sulfuricum D5, Strychnos Nux-Vomica D4	0	1
8978	Oxalis, Folium Ø	0	1
9225	Psychotria Ipecacuanha D3, Belladonna D3, China Rubra D3, Drosera D1, Dactylopius Coccus D8, Mephitis Putorius D8, Veratrum Album D3	0	1
9472	Stannous Chloride Dihydrate	0	4
9719	Menthae Piperitae Folium, Fennel Fruit Sweet, Sennae Folium, Liquorice Root, Millefolii Herba	0	1
9966	Cyclobarbital Calcium, Diazepam	0	1
10213	Aralia Racemosa D6, Iodum D12, Atropinum Sulfuricum D6, Formica Rufa D12, Kalium Phosphoricum D12	0	1
10460	Aqueous Colloidal Silicium Dioxide Solution Compounded With Citric Acid Monohydrate, Lemon Oil	0	1
10707	Betula Pollen Extract, Corylus Pollen Extract, Alnus Glutinosa Pollen Extract	0	1
10954	Avacopan	0	1
11201	Preparation Of Fresh Herb Of Symphytum X Uplandicum (40% Of Pressed Juice Of Fresh Herb Of Symphytum X Uplandicum, Der 3-8:1, And 60% Of An Extract Of The Press Residue From Fresh Herb Of Symphytum X Uplandicum, Der 3-10:1, Extraction Medium Ethanol 30% V	0	2
11448	Valeriana Officinalis Radix Dry Extract	0	1
11695	Convallaria Majalis Urtinktur, Crataegus Mother Tincture, Camphora Dil. D1	0	1
11942	Ergotamine Tartrate, Phenobarbital, Belladonnae Radix Extractum Liquidum, As Total Alkaloids Of Hyoscyamaine	0	1
333	Magnesium Pidolate	0	10
1632	Sodium Chloride, Glucose Monohydrate	0	46
6572	Nitrendipine	0	13
6819	Diflucortolone Valerate, Chlorquinaldol	0	3
7066	Sodium Chloride, Calcium Acetate, Magnesium Acetate Tetrahydrate, Potassium Acetate, Sodium Acetate Trihydrate	0	1
7313	Crataegi Inflorescentia	0	1
7560	Magnesium Carbonate, Liquiritiae Extractum Fluidum, Algeldrate	0	1
7807	Dry Extract From Milk Thistle Fruit (30-40:1), Extraction Agent: Ethanol 96 % (V/V)”.	0	1
8054	Buclizine Hydrochloride, Paracetamol, Codeine Phosphate	0	1
8301	Sodium Chloride, Glucose Monohydrate Ph. Eur.	0	1
8548	Norethisterone Acetate	0	4
8795	Cobalt Gluconate 2h2o, Manganese Gluconate Dihydrate	0	1
9042	Dimeticone, Amylase, Lipase, Protease	0	1
9289	Pilocarpus Dil. D 4, Salvia Officinalis Dil. D 2	0	1
9536	Echinaceae Angustifoliae Tinctura	0	1
9783	Plantago Lanceolata L.	0	2
10030	Cimicifuga Racemosa Dil. D 2, Cyclamen Purpurascens Dil. D 3, Spigelia Anthelmia Dil. D2, Gelsemium Sempervirens Dil. D2, Iris Versicolor Dil. D2	0	1
10277	Berberis, Fructus Dil. D6, Sambucus Nigra Dil. D3, Teucrium Scorodonia Dil. D4, Phosphorus Dil. D6	0	1
10524	Ethanol (96 Per Cent), Hydrogen Peroxide Solution (30 Per Cent), Chlorhexidine Digluconate (20% Solution)	0	1
10771	Amylmetacresol, Ascorbic Acid, 2,4 Dichlorobenzyl Alcohol	0	12
11018	Thiram	0	1
11265	Acetylsalicylic Acid, Paracetamol Dc 90 %, Anhydrous Caffeine	0	1
11512	Hippocastani Fructus Intractum Recentis (1:1), Ginkgo Bilobae Folium Tinctura (1:5), Crataegi Inflorescentia Tinctura (1:5), Visci Herbae Intractum (1:1), Arnicae Herbae Tinctura (1:5)	0	1
11759	Lidocaine Hydrochloride Monohydrate, Dequalinium Chloride, Cetylpyridinium Chloride Monohydrate	0	1
12006	Thymus Herb Liquid Extract, Ribwort Plantain Leaf Fluidextract (1:1)	0	1
397	Ropinirole	0	99
1696	Luffa Operculata D12, Luffa Operculata D4, Luffa Operculata D6	0	1
6636	Equisetum Dry Extract	0	1
6883	Apis Mellifica Dil. D4, Echinacea Mother Tincture, Guajacum Dil. D4, Atropa Bella-Donna D4, Kalium Iodatum Trit. D4, Gelsemium Dil. D4, Aconitum Dil. D4	0	1
7130	Chamomile Flower Liquid Extract (Propan-2-Ol 48% V/V), Der Native 1:2,0-2,8	0	2
7377	Haemophilus Influenzae Type B (Hib), Klebsiella Pneumoniae, Staphylococcus Aureus, Streptococcus Pneumoniae, Streptococcus Pyogenes, Group A, Antigenic Extract, Moraxella Catarrhalis	0	1
7624	Timolol, Tafluprost	0	7
7871	Medulla Ossis Suis D200, Medulla Ossis Suis D30, Medulla Ossis Suis D10	0	1
8118	Mucopolysaccharides, Salicylic Acid	0	1
8365	Benzyl Alcohol, Sodium Benzoate	0	4
8612	Rhus Toxicodendron D4, Aesculus Hippocastanum D3, Symphytum Officinale D8, Hypericum Perforatum D3, Ruta Graveolens D2	0	1
8859	Sodium Dihydrogen Phosphate Monohydrate, Sodium Dihydrogen Phosphate Anhydrous	0	1
9106	Passiflora Incarnata	0	1
9353	Phytolacca Americana Dil. D4, Phytolacca Americana Dil. D200, Phytolacca Americana Dil. D30, Phytolacca Americana Dil. D12	0	1
9600	Triticum Aestivum Pollen Extract	0	1
9847	Rhubarb Extract, Salicylic Acid	0	1
10094	Granit Dil. D9 (Hab, Vs. 6), Gelsemium Sempervirens E Rhizoma Ferm 35b Dil. D2 (Hab, Vs. 35b), Leontopodium Alpinum E Planta Tota Ferm 36 Dil. D3 (Hab, Vs. 36), Mandragora Officinarum E Radice Ferm 34d Dil. D3 (Hab, Vs. 34d), Toxicodendron Quercifolium E 	0	1
10341	Calcium Phosphoricum Trit. D4	0	1
10588	Equisetum Arvense Ex Herba La 20% (Hab, Vs. 12c), Solum Uliginosum, Wässriger Extrakt (Moorextrakt) (Droge Zu Extraktionsmittel = 1:5), Aesculus Hippocastanum E Semine La 25% Sicc. (Hab, Vs. 12m)	0	1
10835	Asenapine Maleate	0	1
11082	Cinchocaine Hydrochloride, Diphenhydramine Hydrochloride, Nicotinamide	0	2
11329	Ravulizumab	0	1
11576	Camphor, Siberian Fir Oil, Menthol Ph. Eur.	0	1
11823	Matricaria Recutita Dil. D12, Kalium Phosphoricum Dil. D6, Delphinium Staphisagria Dil. D12, Valeriana Dil. D6	0	1
12070	4,4'-Dihydroxybiphenyl	0	1
461	Dexketoprofen	0	83
3727	Dexamethasone, Ciprofloxacin	0	9
1289	Adalimumab	0	11
1783	Ketoprofen Lysine	0	45
2030	Soft Extract From Thyme (1.7 -2.5: 1), Extraction Solvents: Ammonia Solution 10 % (M/M), Glycerol 85%, Ethanol 90%, Water (1:20:70:109)	0	3
2277	Valerian Root Dry Extract (4-7:1), Dry Extract From Hop Strobile (4–8:1), Extraction Solvent: Ethanol 40 % (V/V)	0	2
2524	Hydroxocobalamin Acetate, Thiamine Hydrochloride, Pyridoxine Hydrochloride	0	1
795	Sodium Hydrogen Carbonate, Sodium Alginate	0	23
3791	Magnesium Carbonate, Magnesium Oxide	0	4
1353	Dorzolamide Hydrochloride, Timolol Maleate	0	86
1847	Paliperidone Palmitate	0	62
2094	Tincture From Arnica Montana Flower (Der 1:20), Extraction Solvent: Ethanol 57.9% (V/V)	0	1
2341	Guaifenesin, Ethylmorphine Hydrochloride	0	4
118	Paclitaxel	0	77
2588	Carmustine	0	51
859	Diclofenac Sodium, Heparin Sodium	0	3
3855	Olive Oil, Refined, Soya-Bean Oil Refined	0	1
1417	Nandrolone Decanoate	0	4
1911	Arnica Tincture, Hydroxyethyl Salicylate	0	1
2158	Aurum Metallicum Dil. D9, Strophanthus Kombe E Semine Ferm 35b Dil. D5 (Hab, Vs. 35b)	0	1
2405	Betamethasone Dipropionate	0	17
182	Sodium Acetate	0	2
2652	Zincum Chloratum Trit. D12	0	1
923	Almotriptan	0	32
3919	Petroleum Rectificatum D10, Petroleum Rectificatum D200, Petroleum Rectificatum D30, Anamirta Cocculus D10, Anamirta Cocculus D200, Anamirta Cocculus D30, Anamirta Cocculus D4, Petroleum Rectificatum D6	0	1
1481	Echinacea Mother Tincture, Apis Mellifica Dil. D3, Matricaria Recutita Mother Tincture	0	1
1975	Aprotinin, Human Fibrinogen, Calcium Chloride Dihydrate, Human Thrombin	0	17
2222	Butacaine, Dimercaprol	0	1
2469	Benzoic Acid	0	1
246	Acidum Malicum D200, Acidum Malicum D30, Acidum Malicum D10	0	2
2716	Magnesium Chloride D1, Magnesium Bromide D4, Magnesium Phosphoricum D1, Ambra Grisea D8, Plumbum Metallicum D8, Kalium Phosphoricum Dil. 05	0	2
987	Tetanus Toxoid Adsorbed On Aluminium Hydroxide	0	1
4500	Triamcinolone Acetonide, Salicylic Acid	0	4
4747	Torasemide Sodium	0	5
4994	Chamaelirium Luteum D6, Acidum Phosphoricum D6, Sepia Officinalis D6, Strychnos Ignatii D6, Anamirta Cocculus D6, Zincum Metallicum D6	0	1
5241	Potassium Chloride, Sodium Acetate, Sodium Chloride, Glucose Monohydrate, Magnesium Chloride, Sodium Gluconate	0	2
4564	Dexamethasone Valerate, Clioquinol	0	1
4811	Doxapram Hydrochloride Bp	0	2
5058	Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Monohydrate	0	24
5305	Aztreonam, Avibactam	0	1
4628	Hydrochlorothiazide	0	57
4875	Menthae Piperitae Folium	0	10
5122	Gelsemium Sempervirens Dil. D 6, Sulfur Dil. D 8, Zincum Metallicum Dil. D10, Phosphorus Dil. D8, Aconitum Napellus Dil. D3, Hydrargyrum Bichloratum Dil D8, Lachesis Dil. D10, Arnica Montana Dil. D4, Eupatorium Perfoliatum Dil. D6, Bryonia Dil. D6, Euphor	0	1
5369	Mercurius Sublimatus Corrosivus Dil. D5, Acidum Phosphoricum Dil. D3, Matricaria Recutita Dil. D4, Colocynthis Dil. D6, Veratrum Album Dil. D6	0	1
4692	Diphenylthiourea	0	1
4939	Artemisia Vulgaris D4, Artemisia Cina D4, Tanacetum Vulgare D4, Hydrargyrum Bichloratum D6, Graphites D30	0	1
5186	Emtricitabine, Efavirenz, Tenofovir Disoproxil	0	37
5433	Timolol Maleate, Pilocarpine Hydrochloride	0	5
1010	Ambrosia Artemisiifolia	0	28
5456	Tiliae Flos, Willow Bark	0	1
5703	Ferrimanitol Ovalbumin	0	4
5950	Micafungin	0	53
6197	Glucosamine Sulfate Potassium Chloride	0	5
516	Aesculus Hippocastanum L. Seed Dry Extract	0	2
2739	Betula Verrucosa Pollen	0	6
2986	Amylocaine Hydrochloride, Liquid Guaiacol, Reconstituted Essential Oil Of Pine, Cineole	0	2
3233	Cimicifuga Racemosa Dil. D 2, Passiflora Incarnata Dil. D 3, Zincum Isovalerianicum Dil. D5, Platinum Metallicum Dil. D8, Ignatia Dil. D6, Cypripedium Parviflorum Var. Pubescens Dil. D3, Valeriana Officinalis Dil. D2, Cocculus Dil.D4	0	1
3480	Cefprozil	0	9
4006	Dexamethasone Sodium Phosphate, Gentamicin, Tetryzoline Hydrochloride	0	1
4253	Ascorbic Acid, Dry Ruscus Extract Titrated In Sterolic Heterosides (Sh), Hesperidin Methyl Chalcone	0	3
1074	Candida Albicans	0	5
5520	Heparin Sodium, Menthol, Hydroxyethyl Salicylate	0	1
5767	Clebopride Hydrogen Maleate, Simeticone	0	1
6014	Sodium Hydrogen Carbonate, Menthol, Sodium Benzoate, Sodium Borate, Sodium Chloride	0	1
6261	Dry Extract Of Rhus Aromatica Bark (5-7:1), Extraction Solvent: Water, Pumpkin Seed Oil, Dry Extract Of Hop Strobile (5,5–6,5:1), Extraction Solvent: Water	0	4
580	Tirofiban Hydrochloride Monohydrate	0	11
2803	Belantamab Mafodotin	0	1
3050	Bryophyllum, Folium Rec., Aqu. Extr. 1:1,1	0	1
3297	Tretinoin, Urea	0	5
3544	Vincetoxicum Hirundinaria D8, Echinacea Purpurea Mother Tincture, Sambucus Nigra Ø	0	1
4070	Linaclotide	0	1
4317	Allergens, Mould & Yeast Spore	0	3
1138	Ustilago Tritici	0	3
5584	Glycerol, Vaseline, Liquid Paraffin	0	9
5831	Gentamicin, Fluocinolone Acetonide	0	1
6078	Gelatin, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Sodium Lactate	0	1
6325	Quinisocaine Hydrochloride	0	1
644	Niraparib, Abiraterone Acetate	0	1
2867	Glycerol Ph Eur	0	4
3114	Calcium Trisodium Pentetate	0	4
3361	Doxazosin Mesilate, Finasteride	0	2
3608	Chelidonium Rh Dil. D4	0	1
4134	Cortisone Acetate	0	2
4381	Defibrotide	0	1
3672	Cholesterolum Dil D2, Silybum Marianum Dil. D1, Chelidonium Majus D4, Taraxacum Officinale D2, Solidago Virgaurea Urtinktur	0	1
1202	Oyster	0	6
5648	Dydrogesterone, Estradiol Hemihydrate	0	5
5895	Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Taurine, Threonine, Tyrosine, Glycine, Olive Oil, Refined, Soya-Bean Oil Refined, Triglycerides, Medium Chain, Tryptophan, Potassium Chloride, Calcium C	0	29
6142	Refined And Quantified Dry Extract From Ginkgo Leaf (35-45: 1), Corresponding To 15 Mg Of Flavone Glycosides And 3.5 Mg Of Terpenlactone, Extraction Solvent: Acetone 60% (M/M)	0	1
6389	Hawthorn Tincture	0	1
708	Policresulen	0	1
2931	Brivudine	0	14
3178	Ergocalciferol, Calcium Lactate Pentahydrate, Calcium Phosphate	0	1
3425	Arnica Trit. D2, Cimicifuga Trit. D2, Pulsatilla Trit D3, Calcium Fluoratum Trit D6, Caulophyllum Thalictroides Trit. D3	0	1
4198	Pancreas Powder	0	17
4445	Benzocaine, Liquid Extract (0,65:1) From A Mixture Of: Matricaria Flower, Oak Bark, Sage Leaf, Arnica Herb, Calamus Rhizome, Peppermint Herb, Thyme Herb (2:2:2:1:1:1:1), Extraction Solvent: Ethanol 70% (V/V)	0	1
1536	Simeticone, Aluminium Oxide, Hydrated, Magnesium Hydroxide	0	5
6476	Hepar Bovis Gl Dil. D4 (Hab, Vs. 41a)	0	1
6723	Dry Extract From St. John's Wort, Equivalent To 170-305 Mg Of St. John's Wort, Extraction Solvent: Ethanol 68% (V/V)	0	1
6970	Sodium Perchlorate	0	3
7217	Cimicifuga Trit. D2, Ignatia Trit. D3, Sanguinaria Trit. D6, Sepia Trit. D2	0	1
7464	Framycetin Sulfate, Lidocaine Hydrochloride	0	1
7711	Matricariae Flos, Menthae Piperitae Folium, Millefolii Herba	0	3
7958	Trimecaine Hydrochloride, Carbaethopendecinium Bromide	0	1
8205	Fotemustine	0	1
8452	Paracetamol, Caffeine, Acetylsalicylic Acid Ph. Eur.	0	3
