Department	Year	KEN_id	KEN_Description	Insurance	Total_Hospitalisations	Total_Base_Cost	Total_Extra_Cost	Total_Revenue
Surgery	2025	Β01Μ	Μείζονες ανδρικές πυελικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	Public	1	3553.00	0.00	5042.00
Surgery	2025	Β04Α	Επεμβάσεις όρχεων	EFKA	1	652.00	7824.00	5727.00
Surgery	2025	Β20Μ	Κακοήθεια του αντρικού αναπαραγωγικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	1323.00	0.00	1212.00
Surgery	2025	Β24Α	Άλλη διάγνωση αντρικού αναπαραγωγικού συστήματος	Uninsured	1	296.00	2960.00	1897.00
Surgery	2025	Γ05Χ	Χειρουργική αφαίρεση ωοθηκών και σαλπίγγων για μη κακοήθεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	1374.00	1374.00	2582.00
Surgery	2025	Γ09Α	Επεμβάσεις αΐδιου. τραχήλου και κόλπου	EFKA	1	418.00	1463.00	3267.00
Surgery	2025	Γ20Μ	Κακοήθεια γυναικείου αναπαραγωγικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	1969.00	0.00	3952.00
Surgery	2025	Δ01Χ	Μεταφορά μικροαγγειακού μοσχεύματος για διαταραχές δέρματος. υποδορίου ιστού και μαστού χωρίς καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	Uninsured	1	6452.00	0.00	4637.00
Surgery	2025	Δ09Α	Περιοδικές επεμβάσεις και επεμβάσεις τριχοφωλεακού συριγγίου	Public	1	688.00	3440.00	5322.00
Surgery	2025	Δ12Χβ	Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές χωρίς επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού	EFKA	1	1774.00	0.00	6007.00
Surgery	2025	Δ20Μ	Δερματικά έλκη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	2669.00	0.00	1492.00
Surgery	2025	Δ23Χ	μη-κακοήθεις παθήσεις του μαστου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	366.00	183.00	2177.00
Cardiology	2024	S01Χ	Χειρουργικές επεμβάσεις για διαγνώσεις που σχετίζονται με άλλη χρήση υπηρεσιών υγείας χωρίς σοβαρές ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	Uninsured	1	1334.00	8004.00	1885.00
Cardiology	2024	S21Χ	Σημεία και συμπτώματα. της ίδιας ημέρας	Public	1	232.00	2552.00	2570.00
Cardiology	2024	S25Α	Συγγενείς ανωμαλίες και προβλήματα από την νεογνική περίοδο	EFKA	1	1082.00	270.50	3255.00
Cardiology	2024	Α01Χ	Μείζονες επεμβάσεις θώρακος χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	Private	1	2712.00	1162.29	3940.00
Cardiology	2024	Α10Χ	Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	4627.00	0.00	4625.00
Cardiology	2024	Α20Μ	Κυστική ίνωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	3696.00	0.00	5310.00
Cardiology	2024	Α22Μβ	Αναπνευστικές λοιμώξεις/ φλεγμονές με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	EFKA	1	1144.00	1334.69	5995.00
Cardiology	2024	Α25Μ	Χρόνια αποφρακτική πνευμονοπάθεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	1766.00	0.00	1480.00
Cardiology	2024	Α27Μ	Αναπνευστικά σημεία και συμπτώματα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	864.00	1512.00	2165.00
Cardiology	2024	Α29Χ	Βρογχίτιδα και άσθμα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	397.00	397.00	2850.00
Cardiology	2024	Α32Α	Αναπνευστικά προβλήματα αναδυόμενα από τη νεογνική περίοδο	EFKA	1	846.00	1057.50	3535.00
Cardiology	2024	Α34Μβ	Διάμεση πνευμονική νόσος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	Private	1	1393.00	0.00	4220.00
Emergency	2024	G01Χ	Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση χωρίς συνυπάρχουσες παθήσεις-επιπλοκές	Public	1	2182.00	727.33	1474.00
Emergency	2024	S20Μ	Αποκατάσταση με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές	EFKA	1	2716.00	0.00	2159.00
Emergency	2024	S23Χ	Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	Private	1	848.00	0.00	2844.00
Emergency	2024	W11Α	Μη αποδεκτή κύρια διάγνωση. μικρής βαρύτητας	Uninsured	1	991.00	2477.50	3529.00
Emergency	2024	Α02Μβ	Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	1595.00	2233.00	4214.00
Emergency	2024	Α12Α	Βρογχοσκόπηση. την ίδια ημέρα	EFKA	1	1910.00	7640.00	4899.00
Emergency	2024	Α21Μ	Πνευμονική εμβολή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	2187.00	0.00	5584.00
Emergency	2024	Α23Α	Σύνδρομο άπνοιας ύπνου	Uninsured	1	319.00	638.00	6269.00
Emergency	2024	Α26Μα	Μείζον τραύμα Θώρακος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	2467.00	0.00	1754.00
Emergency	2024	Α28Μ	Πνευμοθώρακας με συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	1377.00	1606.50	2439.00
Emergency	2024	Α30Χ	Υλακώδης βήχας και οξεία βρογχιολίτιδα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	607.00	1214.00	3124.00
Emergency	2024	Α33Μβ	Πλευριτική συλλογή με σοβαρές ή μεσαίου βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	1043.00	1251.60	3809.00
ICU	2024	S01Α	Ενδοσκοπήσεις για διάγνωση για άλλη χρήση υπηρεσιών υγείας. ίδια ημέρα	EFKA	1	540.00	2160.00	1611.00
ICU	2024	S20Χ	Αποκατάσταση χωρίς καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές	Private	1	1759.00	0.00	2296.00
ICU	2024	S24Μ	Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας	Uninsured	1	770.00	0.00	2981.00
ICU	2024	W13Α	Διάγνωση για νεογνά. που δεν είναι συμβατή με την ηλικία/βάρος. μικρής βαρύτητας	Public	1	685.00	2055.00	3666.00
ICU	2024	Α02Χ	Λοιπές επεμβάσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	683.00	8196.00	4351.00
ICU	2024	Α12Μ	Βρογχοσκόπηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	3984.00	0.00	5036.00
ICU	2024	Α21Χ	Πνευμονική εμβολή χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	1035.00	862.50	5721.00
ICU	2024	Α24Μ	Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	1821.00	0.00	1206.00
ICU	2024	Α26Μβ	Μείζον τραύμα Θώρακος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	EFKA	1	1175.00	940.00	1891.00
ICU	2024	Α28Χ	Πνευμοθώρακας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	623.00	0.00	2576.00
ICU	2024	Α31Μ	Νεοπλάσματα αναπνευστικού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	1798.00	0.00	3261.00
ICU	2024	Α33Χ	Πλευριτική συλλογή χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	607.00	1820.97	3946.00
Pathology	2024	S01Μ	Χειρουργικές επεμβάσεις για διαγνώσεις που σχετίζονται με άλλη χρήση υπηρεσιών υγείας με σοβαρές ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	Private	1	2413.00	0.00	1748.00
Pathology	2024	S21Μ	Σημεία και συμπτώματα	Uninsured	1	887.00	1064.40	2433.00
Pathology	2024	S24Χ	Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας. την ίδια ημέρα	Public	1	216.00	648.00	3118.00
Pathology	2024	Α01Μ	Μείζονες επεμβάσεις θώρακος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	EFKA	1	4701.00	0.00	3803.00
Pathology	2024	Α10Μ	Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	6036.00	0.00	4488.00
Pathology	2024	Α12Χ	Βρογχοσκόπηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	1798.00	0.00	5173.00
Pathology	2024	Α22Μα	Αναπνευστικές λοιμώξεις / φλεγμονές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	1938.00	387.60	5858.00
Pathology	2024	Α24Χ	Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	949.00	237.25	1343.00
Pathology	2024	Α26Χ	Μείζον τραύμα Θώρακος με συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	607.00	1416.31	2028.00
Pathology	2024	Α29Μ	Βρογχίτιδα και άσθμα με συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	872.00	0.00	2713.00
Pathology	2024	Α31Χ	Νεοπλάσματα αναπνευστικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	910.00	546.00	3398.00
Pathology	2024	Α34Μα	Διάμεση πνευμονική νόσος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	1977.00	593.10	4083.00
Surgery	2024	G01Μβ	Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με σοβαρής βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές	Uninsured	1	3573.00	0.00	1337.00
Surgery	2024	S20Α	Αποκατάσταση. της ίδιας ημέρας	Public	1	934.00	6538.00	2022.00
Surgery	2024	S23Μ	Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	EFKA	1	2039.00	0.00	2707.00
Surgery	2024	W10Α	Μη εφικτό να ταξινομηθούν. μικρής βαρύτητας	Private	1	2014.00	2013.99	3392.00
Surgery	2024	Α02Μα	Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	Uninsured	1	3922.00	0.00	4077.00
Surgery	2024	Α11Χ	Νοσήματα αναπνευστικού συστήματος χωρίς επεμβατικό μηχανικό αερισμό	Public	1	3635.00	0.00	4762.00
Surgery	2024	Α20Χ	Κυστική ίνωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	2638.00	0.00	5447.00
Surgery	2024	Α22Χ	Αναπνευστικές λοιμώξεις/ φλεγμονές χωρίς συνυπάρχουσες παθήσεις – επιπλοκές	Private	1	630.00	0.00	6132.00
Surgery	2024	Α25Χ	Χρόνια αποφρακτική πνευμονοπάθεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	949.00	379.60	1617.00
Surgery	2024	Α27Χ	Αναπνευστικά σημεία και συμπτώματα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	350.00	1750.00	2302.00
Surgery	2024	Α30Μ	Υλακώδης βήχας και οξεία βρογχιολίτιδα με συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	1331.00	0.00	2987.00
Surgery	2024	Α33Μα	Πλευριτική συλλογή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	2023.00	0.00	3672.00
