KEN_id,Description,Base_cost,AverageStay,Additional_daily_cost
Ν12Μ,Διάγνωση νοσήματαoς νευρικού συστήματος με υποστήριξη αναπνευστήρα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,5390,13,414.6153846
Ν12Χ,Διάγνωση νoσήματος νευρικού συστήματος με υποστήριξη αναπνευστήρα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3720,7,531.4285714
Ν20Μ,Οξεία εμφάνιση παραπληγίας/τετραπληγίας με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6919,25,276.76
Ν20Χ,Οξεία εμφάνιση παραπληγίας / τετραπληγίας με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2576,10,257.6
Ν21Μ,Καταστάσεις νωτιαίου μυελού με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,4960,16,310
Ν21Χ,Καταστάσεις νωτιαίου μυελού με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1885,5,377
Ν22Α,Αφαίρεση- εξωσωματική θεραπεία αίματος,243,1,243
Ν23Α,Άνοια (ανοικτή συνδρομή) και άλλες χρόνιες δυσλειτουργίες της εγκεφαλικής λειτουργίας,2109,13,162.2307692
Ν24Μ,Παραλήρημα /Διέγερση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2389,13,183.7692308
Ν24Χ,Παραλήρημα /Διέγερση με /χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1159,6,193.1666667
Ν25Α,Εγκεφαλική παράλυση,482,2,241
Ν26Μ,Νεοπλάσματα νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2062,9,229.1111111
Ν26Χ,Νεοπλάσματα νευρικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,872,4,218
Ν27Μα,Εκφυλιστικά νοσήματα-διαταραχές νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2529,13,194.5384615
Ν27Μβ,Εκφυλιστικά νοσήματα -διαταραχές νευρικού συστήματος με μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1307,8,163.375
Ν27Χ,Εκφυλιστικά νοσήματα (διαταραχές) νευρικού συστήματος χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,482,3,160.6666667
Ν28Μ,Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία με συνυπάρχουσες παθήσεις - επιπλοκές,1907,9,211.8888889
Ν68Χ,Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,565,2,282.5
Ν29Μ,Παροδικό εγκεφαλικό ισχαιμικό επεισόδιο και προεγκεφαλιδική απόφραξη με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1230,6,205
Ν29Χ,Παροδικό ισχαιμικό επεισόδιο και προεγκεφαλιδική απόφραξη χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,545,3,181.6666667
Ν30Α,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες. ασθενούς που κατέληξε ή διακοσμήθηκε σε <5ημέρες,420,2,210
Ν30Μα,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3408,17,200.4705882
Ν30Μβ,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1860,9,206.6666667
Ν30Χ,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1191,6,198.5
Ν31Μ,Δυσλειτουργίες κρανιακών ή περιφερικών νεύρων με συνυπάρχουσες παθήσεις - επιπλοκές,1510,7,215.7142857
Ν31Χ,Δυσλειτουργίες κρανιακών ή περιφερικών νεύρων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,280,2,140
Ν32Μ,Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3175,14,226.7857143
Ν32Χ,Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1183,5,236.6
Ν33Α,Ιογενής μηνιγγίτιδα,739,3,246.3333333
Ν34Χ,Μη τραυματικής αιτιολογίας βυθιότητα-λήθαργος και κώμα με συνυπάρχουσες παθήσεις – επιπλοκές,1012,5,202.4
Ν34Χ,Μη τραυματικής αιτιολογίας βυθιότητα-λήθαργος και κώμα χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,374,2,187
Ν35Α,Πυρετικοί σπασμοί,350,1,350
Ν36Μ,Σπασμοί με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1486,6,247.6666667
Ν36Χ,Σπασμοί χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,482,2,241
Ν37Α,Κεφαλαλγία,335,2,167.5
Ν38Μ,Ενδοκρανιακή (κρανιοεγκεφαλική) κάκωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2327,10,232.7
Ν38Χ,Ενδοκρανιακή (κρανιοεγκεφαλική) κάκωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,879,4,219.75
Ν39Μ,Κατάγματα κρανίου με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1323,5,264.6
Ν39Χ,Κατάγματα κρανίου χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,537,7,76.71428571
Ν40Α,Άλλες κακώσεις κεφαλής,272,1,272
Ν41Μ,Άλλες διαταραχές του νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1837,10,183.7
Ν41Χ,Άλλες διαταραχές του νευρικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,693,3,231
Ν42Μα,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,5805,23,252.3913043
Ν82Μβ,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2475,11,225
Ν82Χ,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1416,6,236
Ο01Α,Επεμβάσεις για διατρηταίνοντες τραυματισμούς των οφθαλμών,1395,3,465
Ο02Α,Εκπυρήνωση-εξόρυξη και επεμβάσεις οφθαλμικού κόγχου,1611,3,537
Ο03Α,Επεμβάσεις αμφιβληστροειδούς,837,1,837
Ο04Α,Σοβαρές επεμβάσεις κερατοειδούς. σκληρού και επιπεφυκότα,1356,3,452
Ο05Α,Ασκορυνοστομία,896,1,896
Ο10Α,Επεμβάσεις Στραβισμού,650,1,650
Ο11Α,Επεμβάσεις βλεφάρων,639,1,639
Ο12Α,Λοιπές επεμβάσεις κερατοειδούς. σκληρού και επιπεφυκότα,583,1,583
Ο13Α,Επεμβάσεις δακρυϊκής συσκευής,336,1,336
Ο14Α,Λοιπές επεμβάσεις οφθαλμού,406,2,203
Ο15Α,Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη,1026,2,513
Ο15Β,Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη την ίδια μέρα,687,1,687
Ο16Α,Επεμβάσεις φακού (από καταράκτη κ.λπ.),592,1,592
Ο17Α,Μεταμοσχεύσεις Κερατοειδούς,2423,10,242.3
Ο20Μ,Επεμβάσεις για οξείες και μείζονες Λοιμώξεις του οφθαλμού με συνυπάρχουσες παθήσεις- επιπλοκές,1860,8,232.5
Ο20Χ,Επεμβάσεις για οξείες και μείζονες Λοιμώξεις του οφθαλμού χωρίς συνυπάρχουσες παθήσεις- επιπλοκές,1035,4,258.75
Ο21Μ,Νευρολογικές και αγγειακές δυσλειτουργίες του οφθαλμού με συνυπάρχουσες παθήσεις- επιπλοκές,934,5,186.8
Ο61Χ,Νευρολογικές και αγγειακές δυσλειτουργίες του οφθαλμού χωρίς συνυπάρχουσες παθήσεις- επιπλοκές,482,2,241
Ο22Α,Ύφαιμα και ιατρική αντιμετώπιση τραυματισμών του οφθαλμού,327,2,163.5
Ο23Α,Λοιπές δυσλειτουργίες οφθαλμού,420,2,210
Ω01Α,Κοχλιακά εμφυτεύματα,24000,1,24000
Ω02Μα,Επεμβάσεις κεφαλής και τραχήλου με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις,5420,11,492.7272727
Ω02Μβ,Επεμβάσεις κεφαλής και τραχήλου με κακοήθεια ή μετριοπαθείς συνυπάρχουσες παθήσεις,2570,4,642.5
Ω02Χ,Επεμβάσεις κεφαλής και τραχήλου χωρίς κακοήθεια χωρίς μετριοπαθείς συνυπάρχουσες παθήσεις,1609,2,804.5
Ω03Α,Χειρουργική διόρθωση ή επισκευή παθήσεων του λαγώχειλου ή λυκοστόματος,1281,2,640.5
Ω04Μ,Γναθοχειρουργική με συνυπάρχουσες παθήσεις-επιπλοκές,3125,4,781.25
Ω04Χ,Γναθοχειρουργική χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,1934,2,967
Ω05Α,Επεμβάσεις της παρωτίδος,1859,2,929.5
Ω06Α,Επεμβάσεις παραρηνίων κόλπων και σύνθετες επεμβάσεις μέσου ωτός,1125,1,1125
Ω10Α,Επεμβάσεις ρινικές,787,1,787
Ω11Α,Αμυγδαλεκτομές και / ή Αδενοηδεκτομές,526,1,526
Ω12Α,Άλλες επεμβάσεις του ΩΡΛ και στόματος,946,1,946
Ω13Α,Τυμπανοτωμή ( Μυριγγεκτομή ) με εισαγωγή σωλήνα,347,1,347
Ω14Α,Επεμβάσεις του στόματος και σιαλογόνων αδένων,740,2,370
Ω15Α,Επεμβάσεις μαστοειδούς,2145,2,1072.5
Ω20Α,Οδοντικές εξαγωγές και αποκαταστάσεις,557,1,557
Ω30Μ,Κακοήθεια ΩΡΛ και στόματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις,2288,9,254.2222222
Ω30Χ,Κακοήθεια ΩΡΛ και στόματος με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις,545,2,272.5
Ω31Α,Ίλλιγγος,444,2,222
Ω32Α,Ρινορραγία,358,2,179
Ω33Α,Μέση ωτίτιδα και λοιμώξεις του ανώτερου αναπνευστικού,397,2,198.5
Ω34Α,Λαρυγγοτραχειίτιδα και επιγλωττίτις,288,1,288
Ω35Α,Ρινικό τραύμα και δυσμορφία,265,1,265
Ω36Μ,Άλλες διαγνώσεις του ΩΡΛ και στόματος με συνυπάρχουσες παθήσεις-επιπλοκές,957,4,239.25
Ω36Χ,Άλλες διαγνώσεις του ΩΡΛ και στόματος χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,243,1,243
Ω37Α,Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις. την ίδια ημέρα,254,1,254
Ω37Β,Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις,661,3,220.3333333
Α01Μ,Μείζονες επεμβάσεις θώρακος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,4701,15,313.4
Α01Χ,Μείζονες επεμβάσεις θώρακος χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,2712,7,387.4285714
Α02Μα,Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,3922,16,245.125
Α02Μβ,Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,1595,5,319
Α02Χ,Λοιπές επεμβάσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,683,1,683
Α10Μ,Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6036,12,503
Α10Χ,Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4627,8,578.375
Α11Χ,Νοσήματα αναπνευστικού συστήματος χωρίς επεμβατικό μηχανικό αερισμό,3635,12,302.9166667
Α12Α,Βρογχοσκόπηση. την ίδια ημέρα,1910,1,1910
Α12Μ,Βρογχοσκόπηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3984,17,234.3529412
Α12Χ,Βρογχοσκόπηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1798,7,256.8571429
Α20Μ,Κυστική ίνωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3696,13,284.3076923
Α20Χ,Κυστική ίνωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2638,10,263.8
Α21Μ,Πνευμονική εμβολή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2187,11,198.8181818
Α21Χ,Πνευμονική εμβολή χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1035,6,172.5
Α22Μα,Αναπνευστικές λοιμώξεις / φλεγμονές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1938,10,193.8
Α22Μβ,Αναπνευστικές λοιμώξεις/ φλεγμονές με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1144,6,190.6666667
Α22Χ,Αναπνευστικές λοιμώξεις/ φλεγμονές χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,630,3,210
Α23Α,Σύνδρομο άπνοιας ύπνου,319,1,319
Α24Μ,Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1821,8,227.625
Α24Χ,Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,949,4,237.25
Α25Μ,Χρόνια αποφρακτική πνευμονοπάθεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1766,9,196.2222222
Α25Χ,Χρόνια αποφρακτική πνευμονοπάθεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,949,5,189.8
Α26Μα,Μείζον τραύμα Θώρακος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2467,12,205.5833333
Α26Μβ,Μείζον τραύμα Θώρακος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1175,5,235
Α26Χ,Μείζον τραύμα Θώρακος με συνυπάρχουσες παθήσεις - επιπλοκές,607,3,202.3333333
Α27Μ,Αναπνευστικά σημεία και συμπτώματα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,864,4,216
Α27Χ,Αναπνευστικά σημεία και συμπτώματα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,350,2,175
Α28Μ,Πνευμοθώρακας με συνυπάρχουσες παθήσεις - επιπλοκές,1377,6,229.5
Α28Χ,Πνευμοθώρακας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,623,3,207.6666667
Α29Μ,Βρογχίτιδα και άσθμα με συνυπάρχουσες παθήσεις - επιπλοκές,872,4,218
Α29Χ,Βρογχίτιδα και άσθμα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,397,2,198.5
Α30Μ,Υλακώδης βήχας και οξεία βρογχιολίτιδα με συνυπάρχουσες παθήσεις - επιπλοκές,1331,5,266.2
Α30Χ,Υλακώδης βήχας και οξεία βρογχιολίτιδα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,607,2,303.5
Α31Μ,Νεοπλάσματα αναπνευστικού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1798,9,199.7777778
Α31Χ,Νεοπλάσματα αναπνευστικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,910,5,182
Α32Α,Αναπνευστικά προβλήματα αναδυόμενα από τη νεογνική περίοδο,846,4,211.5
Α33Μα,Πλευριτική συλλογή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2023,10,202.3
Α33Μβ,Πλευριτική συλλογή με σοβαρές ή μεσαίου βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,1043,5,208.6
Α33Χ,Πλευριτική συλλογή χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,607,3,202.3333333
Α34Μα,Διάμεση πνευμονική νόσος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1977,10,197.7
Α34Μβ,Διάμεση πνευμονική νόσος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1393,7,199
Α34Χ,Διάμεση πνευμονική νόσος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,638,3,212.6666667
Α35Μα,Λοιπές διαγνώσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1556,8,194.5
Α35Μβ,Λοιπές διαγνώσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,973,5,194.6
Α35Χ,Λοιπές διαγνώσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,475,2,237.5
Α36Α,Φυματίωση αναπνευστικού,2412,14,172.2857143
Κ01Μ,Τοποθέτηση ή αντικατάσταση εμφυτεύσιμου απινιδωτή. ολικό σύστημα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,16215,12,1351.25
Κ01Χ,Τοποθέτηση ή αντικατάσταση εμφυτεύσιμου απινιδωτή. ολικό σύστημα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,12420,3,4140
Κ02Α,Άλλες επεμβάσεις επί εμφυτεύσιμου απινιδωτή,2844,4,711
Κ03Μ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία και με επεμβατικό καρδιακό καθετηριασμό με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,15429,23,670.826087
Κ03Χ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία και με επεμβατικό καρδιακό καθετηριασμό χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,11734,13,902.6153846
Κ04Μ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία χωρίς επεμβατικό καρδιακό καθετηριασμό και με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,13155,14,939.6428571
Κ04Χ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία χωρίς επεμβατικό καρδιακό καθετηριασμό και χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,9163,8,1145.375
Κ05Μ,Αορτοστεφανιαία παράκαμψη με καρδιακό καθετηριασμό με επανεπέμβαση με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,10023,18,556.8333333
Κ05Χ,Αορτοστεφανιαία παράκαμψη με καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,7270,13,559.2307692
Κ06Μ,Αορτοστεφανιαία παράκαμψη χωρίς καρδιακό καθετηριασμό με επανεπέμβαση ή με καταστροφικές / σοβαρές συνυπάρχουσες παθήσεις-επιπλοκές,7182,10,718.2
Κ06Χ,Αορτοστεφανιαία παράκαμψη χωρίς καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,5077,7,725.2857143
Κ07Μα,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,10554,12,879.5
Κ07Μβ,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με σοβαρές ή μετρίας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές,7279,8,909.875
Κ07Χ,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,5354,7,764.8571429
Κ08Μ,Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,8956,16,559.75
Κ08Χ,Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς εξωσωματική κυκλοφορία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,5561,7,794.4285714
Κ09Μα,Λοιπές κάρδιοθωρακικές χειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,6413,10,641.3
Κ09Μβ,Άλλες κάρδιο-θώρακοχειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία με σοβαρής ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές,3617,6,602.8333333
Κ09Χ,Άλλες κάρδιο-θώρακοχειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,2386,3,795.3333333
Κ10Μ,Επεμβατικές στεφανιαίες επεμβάσεις με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,4166,8,520.75
