Substance_id,Name
197,"Aesculus, Cortex, Ethanol. Decoctum Dil. D3, Antimonit Dil. D8, Gentiana Lutea, Ethanol. Decoctum Dil. D3, Hamamelis, Ethanol. Decoctum Dil. D3, Millefolium Dil. D1"
198,Aciclovir Sodium
199,Aciclovir Ph. Eur.
200,Aciclovir Bp
201,Acitretin
202,"Alendronic Acid, Colecalciferol"
203,"Colecalciferol, Alendronate Sodium Trihydrate"
204,Ascorbic Acid
205,Thioctic Acid
206,Tranexamic Acid
207,Zoledronic Acid
208,Zoledronic Acid Monohydrate
209,Pantoprazole Sodium Sesquihydrate
210,Esomeprazole
211,Omeprazole
212,"D,l-Lysine Acetylsalicylate"
213,Alendronate Sodium Trihydrate
214,Alendronic Acid
215,Alendronate Sodium Monohydrate
216,Sodium Alendronate Trihydrate Ph. Eur.
217,Carglumic Acid
218,Fusidic Acid
219,Gadoteric Acid
220,Mycophenolic Acid
221,Tiaprofenic Acid
222,Ursodeoxycholic Acid
223,Anhydrous Zoledronic Acid
224,"Sodium Hydrogen Carbonate, Calcium Carbonate, Sodium Alginate"
225,"Potassium Hydrogen Carbonate, Sodium Alginate"
226,"Magnesium Carbonate Heavy, Calcium Carbonate"
227,Boric Acid
228,"Ascorbic Acid, Acetylsalicylic Acid"
229,Alendronate Sodium
230,"Sodium Picosulfate, Magnesium Oxide, Citric Acid"
231,"Clodronate Disodium Tetrahydrate, Lidocaine Hydrochloride"
232,"Folic Acid, Anhydrous"
233,Ibandronate Sodium Hydrate
234,Sodium Ibandronate
235,Mycophenolate Sodium
236,Salicylic Acid
237,Trichloroacetic Acid
238,"Valproic Acid, Sodium Valproate"
239,Valproic Acid
240,"Icosapent Ethyl, Docosahexaenoic Acid Ethyl Ester"
241,"Doconexent, Icosapent, Omega-3-Acid Ethyl Esters 90"
242,Omega-3-Acid Ethyl Esters 90
243,"Acidum Alpha-Ketoglutaricum D200, Acidum Alpha-Ketoglutaricum D30, Acidum Alpha-Ketoglutaricum D10"
244,"Acidum Cis-Aconiticum D30, Acidum Cis-Aconiticum D200, Acidum Cis-Aconiticum D10"
245,"Acidum Citricum D10, Acidum Citricum D200, Acidum Citricum D30"
246,"Acidum Malicum D200, Acidum Malicum D30, Acidum Malicum D10"
247,"Acidum Formicicum Dil D12, Acidum Formicicum Dil. D30, Acidum Formicicum Dil. D200"
248,"Acidum Fumaricum D200, Acidum Fumaricum D30, Acidum Fumaricum D10"
249,Nicotinic Acid
250,"Acidum Phosphoricum Dil. D30, Acidum Phosphoricum Dil. D200, Acidum Phosphoricum Dil. D12"
251,"Acidum Succinicum D10, Acidum Succinicum D200, Acidum Succinicum D30"
252,"Natrium Sulfuricum Dil. D12, Acidum Arsenicosum Dil. D8, Acidum Phosphoricum Dil. D12, Secale Cornutum Dil. D4"
253,Pantoprazole
254,Ferrous Gluconate
255,Rabeprazole Sodium
256,Buprenorphine
257,L-Methionine
258,Methionine
259,Mefenamic Acid
260,Phenoxymethylpenicillin
261,Diethylamine Salicylate
262,"Piperacillin Sodium, Tazobactam Sodium"
263,Escitalopram Oxalate
264,"Azelastine Hydrochloride, Fluticasone Propionate"
265,Pregabalin
266,Celecoxib
267,Clopidogrel
268,Ticlopidine Hydrochloride
269,Human Antithrombin
270,"Erythromycin, Tretinoin"
271,Isotretinoin
272,"Clindamycin, Tretinoin"
273,"Miconazole Nitrate, Benzoyl Peroxide"
274,Benzoyl Peroxide
275,"Clindamycin Phosphate, Benzoyl Peroxide, Hydrous"
276,Adapalene
277,Chlorhexidine Gluconate Solution Bp
278,Chlorhexidine Gluconate
279,"Erythromycin, Zinc Acetate"
280,"Adapalene, Anhydrous Benzoyl Peroxide"
281,"Magnesium Phosphoricum D8, Aconitum Napellus D4, Acidum Arsenicosum D30"
282,"Acidum Arsenicosum Dil. D30, Magnesium Phosphoricum Dil. D8, Gnaphalium Polycephalum Dil. D3, Aconitum Dil. D4, Citrullus Colocynthis Dil. D4"
283,"Gnaphalium Polycephalum Dil. D4, Magnesium Phosphoricum Dil. D8, Aconitum Dil. D6, Citrullus Colocynthis Dil. D4"
284,"Dextromethorphan Hydrobromide, Dexpanthenol"
285,Aconitum Napellus D30
286,Lidocaine Hydrochloride Monohydrate
287,Topiramate
288,Naphazoline Hydrochloride
289,"D-Camphor, Lavender Oil, Quarz Dil. D9 Oleos. (Hab, Vs. 8a Und 12j In Raffiniertem Erdnussöl), Aconitum Napellus E Tubere Ferm 33c Dil. D9 Oleos. (Hab, Vs. 33c Und 12j, In Raffiniertem Erdnussöl)"
290,"Aconitum Napellus E Tubere Ferm 33c Dil. D29 (Hab, Vs. 33c), Atropa Belladonna E Radice Ferm 33b Dil. D29 (Hab, Vs. 33b), Toxicodendron Quercifolium E Foliis Ferm 33d Dil. D29 (Hab, Vs. 33d)"
291,"Aconitum Napellus E Tubere W 5% (Hab, Vs. 12g Mit Nativem Olivenöl)"
292,Aconitum Napellus Rh Dil. D3
293,"Bryonia Trit. D 3, Ferrum Phosphoricum Trit D 2, Belladonna Trit. D3, Aconitum Trit. D3, Gelsemium Trit. D3"
294,"Aconitum Napellus E Tubere Ferm 33c Dil. D2 (Hab, Vs. 33c), Bryonia Cretica Ferm 33b Dil. D2, Cinchona Succirubra E Cortice Ferm 35b Dil. D1 (Hab, Vs. 35b), Eucalyptus Globulus E Foliis Ferm 33d Dil. D1 (Hab, Vs. 33d), Eupatorium Cannabinum Ex Herba Ferm 33c Dil. D1 (Hab, Vs. 33c)"
295,"Aconitum Napellus E Tubere Ferm 33c Dil. D3 (Hab, Vs. 33c), Bryonia Cretica Ferm 33b Dil. D3, Cinchona Succirubra E Cortice Ferm 35b Dil. D2 (Hab, Vs. 35b), Eucalyptus Globulus E Foliis Ferm 33d Dil. D2 (Hab, Vs. 33d), Eupatorium Cannabinum Ex Herba Ferm 33c Dil. D2 (Hab, Vs. 33c)"
296,"Eucalyptus Globulus Dil. D2, Aconitum Napellus Dil. D2, Aconitum Napellus Dil. D10, Aconitum Napellus Dil. D30, Aconitum Napellus Dil. D200, Eucalyptus Globulus Dil. D10, Eucalyptus Globulus Dil. D30, Psychotria Ipecacuanha Dil. D10, Psychotria Ipecacuanha Dil. D30, Psychotria Ipecacuanha Dil. D200, Psychotria Ipecacuanha Dil. D2"
297,Anhydrous Tiotropium Bromide
298,Tiotropium
299,Tiotropium Bromide
300,Tadalafil
301,Budesonide
302,Etoricoxib
303,Chloroquine
304,Water For Injection
305,Sterilised Water For Injections
306,"Pseudoephedrine Hydrochloride, Acrivastine"
307,Acrivastine
308,Phenoxymethylpenicillin Potassium
309,Nimesulide
310,Montelukast
311,Telmisartan
312,"Amlodipine, Telmisartan"
313,"Hydrochlorothiazide, Telmisartan"
314,"Arnica Montana C4, Cimicifuga Racemosa C4, Sanguinaria Canadensis C4, Nitroglycerinum C4, Lachesis C5"
315,Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate)
316,"Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate), Tetanus Protein"
317,"Tetanus Toxoid, Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate)"
318,"Charcoal, Activated"
319,"Papaverine Hydrochloride, Charcoal, Activated"
320,Doxycycline Monohydrate
321,"Dextromethorphan Hydrobromide, Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride"
322,"Xylometazoline Hydrochloride, Dexpanthenol"
323,Xylometazoline Hydrochloride
324,"Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride, Paracetamol"
325,"Diphenhydramine Hydrochloride, Paracetamol"
326,"Pseudoephedrine Hydrochloride, Paracetamol"
327,Guaifenesin
328,"Fluorouracil, Salicylic Acid"
329,"Deanol Acetamidobenzoate, Hesperidin Methyl Chalcone, Magnesium Glycerophosphate"
330,Sodium Picosulfate
331,Lidocaine
332,Alteplase
333,Magnesium Pidolate
334,Modafinil
335,Morphine Sulfate
336,"Octenidine Dihydrochloride, Phenoxyethanol"
337,"Saccharomyces Cerevisiae Type D Extract, Sodium Disulfide"
338,"Sodium Sulfide Nonahydrate, Saccharomyces Cerevisiae"
339,"Sodium Sulfide Nonahydrate, Saccharomyces Cerevisiae Type D Extract"
340,"Promethazine Hydrochloride, Carbocisteine"
341,Carbocisteine
342,"Ascorbic Acid, Betacarotene, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Phytomenadione, Pyridoxine, Riboflavin, Rutoside, Thiamine, Zinc, Calcium, Chromium, Copper, Iodine, Iron, Magnesium, Manganese, Pantothenic Acid, Phosphorus, Selenium, Retinol, Alpha-Tocopherol, Molybdenum, Lutein, P-Aminobenzoic Acid, Lycopene, Boron, Vanadium"
343,"Ascorbic Acid, Betacarotene, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Pyridoxine, Riboflavin, Rutoside, Thiamine, Zinc, Calcium, Copper, Iron, Magnesium, Pantothenic Acid, Selenium, Retinol, Alpha-Tocopherol, Boron"
344,"Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Phytomenadione, Pyridoxine, Riboflavin, Rutoside, Thiamine, Glycine, Succinic Acid, Zinc, Calcium, Chromium, Copper, Iodine, Iron, Magnesium, Manganese, Pantothenic Acid, Phosphorus, Selenium, Retinol, Alpha-Tocopherol, Molybdenum, Boron"
345,"Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Phytomenadione, Pyridoxine, Riboflavin, Thiamine, Glycine, Succinic Acid, Zinc, Calcium, Chromium, Copper, Iodine, Iron, Magnesium, Manganese, Pantothenic Acid, Phosphorus, Selenium, Retinol, Alpha-Tocopherol, Boron"
346,"Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Pyridoxine, Riboflavin, Thiamine, Zinc, Calcium, Copper, Iron, Magnesium, Pantothenic Acid, Selenium, Retinol, Alpha-Tocopherol, Boron"
347,"Norethisterone Acetate, Estradiol"
348,"Norethisterone Acetate, Estradiol Hemihydrate"
349,"Aciclovir, Hydrocortisone"
350,Etofenamate
351,Pelargonium Sidoides Dc Root Liquid Extract
352,Hydrocortisone Sodium Phosphate
353,"Colecalciferol, Calcium Carbonate"
354,Calcium Carbonate
355,Risedronate Monosodium
356,"Atropine Sulfate, Sodium Hydrogen Carbonate, Peppermint Oil, Aluminium Hydroxide Gel, Dried, Calcium Carbonate, Magnesium Carbonate, Magnesium Trisilicate"
357,"Simeticone, Magnesium Hydroxide, Aluminium Hydroxide"
358,Pioglitazone
359,Pioglitazone Hydrochloride
360,Urokinase
361,Deproteinised Hemoderivative Of Calf Blood
362,Insulin Human
363,Naproxen Sodium
364,"Hedera Helix Dry Extract, Ethanol 30%"
365,Benzydamine Hydrochloride
366,"Nitrous Oxide, Oxygen"
367,"Quinapril Hydrochloride, Hydrochlorothiazide"
368,Quinapril Hydrochloride
369,Ketorolac Trometamol
370,Galantamine
371,"Hypromellose, Sodium Chloride"
372,Nefopam
373,Nefopam Hydrochloride
374,Quinapril
375,Atracurium Besilate
376,Loperamide Hydrochloride
377,Denosumab
378,"Magnesium Hydroxide, Aluminium Hydroxide-Magnesium Carbonate Co-Dried Gel, Algeldrate"
379,"Adapalene, Benzoyl Peroxide, Hydrous"
380,Solifenacin Succinate
381,"Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Pertussis Fimbrial Agglutinogens (Fim) 2 And 3"
382,"Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Pertussis Fimbrial Agglutinogens (Fim) 2 And 3, Poliovirus (Inactivated) Type 1 (Mahoney Strain)"
383,Doxazosin Mesilate
384,Dutasteride
385,Melatonin
386,Sitagliptin
387,Nifedipine
388,"Paracetamol, Thiocolchicoside"
389,"Ethinylestradiol, Etonogestrel"
390,Ceftobiprole Medocaril Sodium
391,Tramadol Hydrochloride
392,Temgicoluril
393,Colecalciferol
394,"Eleutherococci Radix Dry Extract (16-25:1), Extraction Solvent: Ethanol 30% (V/V)"
395,"Delapril Hydrochloride, Manidipine Dihydrochloride"
396,Diclofenac Sodium
397,Ropinirole
398,Finasteride
399,Loxapine
400,Tamsulosin Hydrochloride
401,"Tamsulosin Hydrochloride, Dutasteride"
402,Memantine Hydrochloride
403,Brentuximab Vedotin
404,"Sodium Molybdate Dihydrate, Zinc Chloride, Ferric Chloride Hexahydrate, Potassium Iodide, Sodium Fluoride, Chromium Chloride Hexahydrate, Copper Chloride Dihydrate, Manganese Chloride Tetrahydrate, Sodium Selenite Anhydrous"
405,"Sodium Molybdate Dihydrate, Zinc Chloride, Ferric Chloride Hexahydrate, Potassium Iodide, Sodium Fluoride, Sodium Selenite, Chromium Chloride Hexahydrate, Copper Chloride Dihydrate, Manganese Chloride Tetrahydrate"
406,"Copper Gluconate, Manganese Gluconate, Potassium Iodide, Sodium Selenite, Zinc Gluconate"
407,"Copper Gluconate, Manganese Gluconate, Potassium Iodide, Sodium Selenite, Zinc Gluconate (Ph. Eur.)"
408,"Chromic Chloride, Copper Gluconate, Manganese Gluconate, Potassium Iodide, Sodium Fluoride, Sodium Molybdate, Sodium Selenite, Ferrous Gluconate Hydrate Ph.Eur., Zinc Gluconate (Ph. Eur.)"
409,Sodium Chloride
410,Potassium Chloride
411,Methylphenidate Hydrochloride
412,Ammonium Chloride
413,"Potassium Hydroxide, Dipotassium Hydrogen Phosphate Trihydrate"
414,Trometamol
415,"Fusidic Acid, Betamethasone"
416,"Disodium Phosphate Dihydrate, Potassium Dihydrogen Phosphate, Potassium Hydroxide"
417,Hyoscine Butylbromide
418,Ampicillin
419,"Desogestrel, Ethinylestradiol"
420,Prednisolone Sodium Phosphate
421,Riociguat
422,Adenosine
423,"Phytolacca Americana Dil. D4, Clematis Recta D1, Scrophularia Nodosa Ø"
424,"Adenosinum Triphosphoricum D200, Adenosinum Triphosphoricum D30, Adenosinum Triphosphoricum D6, Adenosinum Triphosphoricum D10"
425,"Ethinylestradiol, Levonorgestrel"
426,Amitriptyline Hydrochloride
427,Lanolin
428,Everolimus
429,Glyceryl Trinitrate
430,Camellia Sinensis
431,Trimetazidine Dihydrochloride
432,Dexamfetamine Sulfate
433,"Metformin Hydrochloride, Sitagliptin"
434,Sulfadiazine
435,Lisinopril Dihydrate
436,Nystatin
437,Dienogest
438,"Dienogest, Ethinylestradiol"
439,Lactose.
440,Dimethyl Fumarate
441,Tamoxifen
442,Tamoxifen Citrate
443,Desmopressin
444,Anastrozole
445,Lisdexamfetamine Dimesylate
446,Diltiazem Hydrochloride
447,"Polysorbate 80, Squalene, Split Influenza Virus (Inactivated) Of Strain A/Vietnam/1194/2004 (H5n1) Like Strain Used (Nibrg-14), Dl-Alpha-Tocopherol"
448,Sertraline Hydrochloride
449,"Berberis Vulgaris D12, Cardiospermum Halicacabum D12, Acidum Formicicum D12, Natrium Chloratum D12, Thryallis Glauca D12, Zincum Isovalerianicum D12"
450,"Calcium Carbonicum Hahnemanni D6, Delphinium Staphisagria D6, Calcium Fluoratum D6, Matricaria Recutita D4, Podophyllum Peltatum D6, Atropa Bella-Donna D8"
451,"Ambra Grisea D12, Argentum Nitricum D12, Kalium Bromatum D12, Phosphorus D12, Zincum Isovalerianicum D12"
452,"Acidum Formicicum D 6, Euphrasia 3c D4, Thryallis Glauca D12, Lobaria Pulmonaria D4, Allium Cepa D4, Schoenocaulon Officinale D4"
453,"Kalium Chloratum D6, Acidum Silicicum D6, Berberis Vulgaris D6, Thuja Occidentalis D4, Zincum Metallicum D12"
454,"Nicotiana Tabacum D12, Veratrum Album D4, Anamirta Cocculus D4, Argentum Nitricum D12, Strychnos Nux-Vomica D6"
455,Tenoxicam
456,Allopurinol
457,Tapentadol
458,"Ibuprofen, Paracetamol"
459,"Gelsemium Sempervirens Dil. D4, Schoenocaulon Officinale Dil. D3, Spigelia Anthelmia Dil. D 3, Menyanthes Trifoliata Dil. D3, Piper Methysticum Spag. Peka Dil. D8, Aconitum Napellus Dil. D12, Bryonia Spag. Peka Dil. D3, Semecarpus Anacardium Dil. D6"
460,"Naloxone Hydrochloride, Oxycodone Hydrochloride"
461,Dexketoprofen
462,Healing Earth
463,"Paracetamol, Propyphenazone, Caffeine"
464,Ibuprofen Lysine
465,"Adonis Vernalis Ferm 33d Dil. D2, Crataegus Laevigata/Monogyna E Foliis Et Fructibus Ferm 33d Dil. D2 (Hab, Vs. 33d)"
466,"Kalmia Latifolia Dil. D 2, Adonis Vernalis Dil. D4, Nerium Oleander Dil. D4, Cactus Dil. D2, Kalium Carbonicum Dil. D3, Crataegus Dil. D2"
467,Tacrolimus
468,Zolpidem Tartrate
469,Risperidone
470,Epinephrine
471,Epinephrine Bitartrate
472,Epinephrine Hydrochloride
473,Adrenaline Acid Tartrate Bp
474,Carbazochrome
475,Iodine (123i) Iobenguane
476,Doxorubicin Hydrochloride
477,Anagrelide
478,Levodropropizine
479,"Acidum Formicicum D8, Histaminum Dihydrochloricum D22, Histaminum Dihydrochloricum D8, Ledum Palustre D8, Acidum Sulfuricum D22, Arctium D8, Pix Liquida D10, Tellurium Metallicum D10, Histaminum Dihydrochloricum D12, Arnica Montana D6, Acidum Arsenicosum D8, Lycopodium Clavatum D6, Selenium D12, Stibium Sulfuratum Nigrum D10, Strychnos Ignatii D6, Graphites D10, Sulfur D12, Thuja Occidentalis D6"
480,"Sulfur Trit. D 12, Strychnos Ignatii Trit. D6, Tellurium Metallicum Trit. D10, Acidum Arsenicosum Trit. D8, Acidum Formicicum Trit. D8, Acidum Sulfuricum Trit. D22, Arctium Trit. D8, Arnica Montana Trit. D6, Graphites Trit. D10, Histaminum Dihydrochloricum Trit. D8, Histaminum Dihydrochloricum Trit. D12, Histaminum Dihydrochloricum Trit. D22, Ledum Palustre Trit. D8, Lycopodium Clavatum Trit. D6, Pix Liquida Trit. D10, Selenium Trit. D12, Stibium Sulfuratum Nigrum Trit. D10, Thuja Occidentalis Trit. D6"
481,Lacosamide
482,Sugammadex
483,"Colecalciferol, Alendronate Sodium"
484,Tralokinumab
485,Donepezil Hydrochloride
486,Glycerol
487,"Cetylpyridinium Chloride, Guaifenesin"
488,Oxazepam
489,Octocog Alfa
490,Temozolomide
491,Fesoterodine
492,Eribulin Mesylate
493,Rurioctocog Alfa Pegol
494,Radamts13
495,Olanzapine
496,"Helium, Carbon Monoxide"
497,"Air, Medicinal"
498,Flunisolide
499,"Beclometasone Dipropionate, Formoterol Fumarate Dihydrate"
500,"Desloratadine, Pseudoephedrine Sulphate"
501,"Fluticasone Propionate, Salmeterol"
502,Desloratadine
503,Beclometasone Dipropionate
504,Beclometasone Dipropionate Anhydrous
505,Simeticone
506,Terbutaline Sulfate
507,"Dimeticone, Metoclopramide"
508,Salbutamol
509,Salbutamol Sulfate
